A&M-Corpus Chris,26172,2015
Abilene Christian,2,2015
Air Force,721,2015
Akron,5,2015
Alabama,8,2015
Alabama A&M,6,2015
Alabama St.,7,2015
Albany (NY),14,2015
Alcorn,17,2015
American,23,2015
Appalachian St.,27,2015
Arizona,29,2015
Arizona St.,28,2015
Ark.-Pine Bluff,2678,2015
Arkansas,31,2015
Arkansas St.,30,2015
Army West Point,725,2015
Auburn,37,2015
Austin Peay,43,2015
BYU,77,2015
Ball St.,47,2015
Baylor,51,2015
Belmont,14927,2015
Bethune-Cookman,61,2015
Binghamton,62,2015
Boise St.,66,2015
Boston College,67,2015
Boston U.,68,2015
Bowling Green,71,2015
Bradley,72,2015
Brown,80,2015
Bryant,81,2015
Bucknell,83,2015
Buffalo,86,2015
Butler,87,2015
CSU Bakersfield,94,2015
CSUN,101,2015
Cal Poly,90,2015
Cal St. Fullerton,97,2015
California,107,2015
Campbell,115,2015
Canisius,116,2015
Central Ark.,1004,2015
Central Conn. St.,127,2015
Central Mich.,129,2015
Charleston So.,48,2015
Charlotte,458,2015
Chattanooga,693,2015
Chicago St.,136,2015
Cincinnati,140,2015
Clemson,147,2015
Cleveland St.,148,2015
Coastal Caro.,149,2015
Col. of Charleston,1014,2015
Colgate,153,2015
Colorado,157,2015
Colorado St.,156,2015
Columbia,158,2015
Coppin St.,165,2015
Cornell,167,2015
Creighton,169,2015
Dartmouth,172,2015
Davidson,173,2015
Dayton,175,2015
DePaul,176,2015
Delaware,180,2015
Delaware St.,178,2015
Denver,183,2015
Detroit Mercy,184,2015
Drake,189,2015
Drexel,191,2015
Duke,193,2015
Duquesne,194,2015
ETSU,198,2015
East Carolina,196,2015
Eastern Ill.,201,2015
Eastern Ky.,202,2015
Eastern Mich.,204,2015
Eastern Wash.,207,2015
Elon,1068,2015
Evansville,219,2015
FGCU,28755,2015
FIU,231,2015
Fairfield,220,2015
Fairleigh Dickinson,222,2015
Fla. Atlantic,229,2015
Florida,235,2015
Florida A&M,228,2015
Florida St.,234,2015
Fordham,236,2015
Fort Wayne,308,2015
Fresno St.,96,2015
Furman,244,2015
Ga. Southern,253,2015
Gardner-Webb,1092,2015
George Mason,248,2015
George Washington,249,2015
Georgetown,251,2015
Georgia,257,2015
Georgia St.,254,2015
Georgia Tech,255,2015
Gonzaga,260,2015
Grambling,261,2015
Grand Canyon,1104,2015
Green Bay,794,2015
Hampton,270,2015
Hartford,272,2015
Harvard,275,2015
Hawaii,277,2015
High Point,19651,2015
Hofstra,283,2015
Holy Cross,285,2015
Houston,288,2015
Houston Baptist,287,2015
Howard,290,2015
IUPUI,2699,2015
Idaho,295,2015
Idaho St.,294,2015
Ill.-Chicago,302,2015
Illinois,301,2015
Illinois St.,299,2015
Incarnate Word,2743,2015
Indiana,306,2015
Indiana St.,305,2015
Iona,310,2015
Iowa,312,2015
Iowa St.,311,2015
Jackson St.,314,2015
Jacksonville,316,2015
Jacksonville St.,315,2015
James Madison,317,2015
Kansas,328,2015
Kansas St.,327,2015
Kennesaw St.,1157,2015
Kent St.,331,2015
Kentucky,334,2015
LIU Brooklyn,361,2015
LSU,365,2015
La Salle,340,2015
La.-Monroe,498,2015
Lafayette,342,2015
Lamar University,346,2015
Lehigh,352,2015
Liberty,355,2015
Lipscomb,28600,2015
Little Rock,32,2015
Long Beach St.,99,2015
Longwood,363,2015
Louisiana,671,2015
Louisiana Tech,366,2015
Louisville,367,2015
Loyola Chicago,371,2015
Loyola Maryland,369,2015
Loyola Marymount,370,2015
Maine,380,2015
Manhattan,381,2015
Marist,386,2015
Marquette,387,2015
Marshall,388,2015
Maryland,392,2015
Massachusetts,400,2015
McNeese,402,2015
Memphis,404,2015
Mercer,406,2015
Miami (FL),415,2015
Miami (OH),414,2015
Michigan,418,2015
Michigan St.,416,2015
Middle Tenn.,419,2015
Milwaukee,797,2015
Minnesota,428,2015
Mississippi St.,430,2015
Mississippi Val.,432,2015
Missouri,434,2015
Missouri St.,669,2015
Monmouth,439,2015
Montana,441,2015
Montana St.,440,2015
Morehead St.,444,2015
Morgan St.,446,2015
Mt. St. Mary's,450,2015
Murray St.,454,2015
N.C. A&T,488,2015
N.C. Central,489,2015
NJIT,471,2015
Navy,726,2015
Nebraska,463,2015
Nevada,466,2015
New Hampshire,469,2015
New Mexico,473,2015
New Mexico St.,472,2015
New Orleans,474,2015
Niagara,482,2015
Nicholls St.,483,2015
Norfolk St.,485,2015
North Carolina,457,2015
North Carolina St.,490,2015
North Dakota,494,2015
North Dakota St.,493,2015
North Florida,2711,2015
North Texas,497,2015
Northeastern,500,2015
Northern Ariz.,501,2015
Northern Colo.,502,2015
Northern Ill.,503,2015
Northern Ky.,505,2015
Northwestern,509,2015
Northwestern St.,508,2015
Notre Dame,513,2015
Oakland,514,2015
Ohio,519,2015
Ohio St.,518,2015
Oklahoma,522,2015
Oklahoma St.,521,2015
Old Dominion,523,2015
Ole Miss,433,2015
Omaha,464,2015
Oral Roberts,527,2015
Oregon,529,2015
Oregon St.,528,2015
Pacific,534,2015
Penn,540,2015
Penn St.,539,2015
Pepperdine,541,2015
Pittsburgh,545,2015
Portland,551,2015
Portland St.,550,2015
Prairie View,553,2015
Presbyterian,1320,2015
Princeton,554,2015
Providence,556,2015
Purdue,559,2015
Quinnipiac,562,2015
Radford,563,2015
Rhode Island,572,2015
Rice,574,2015
Richmond,575,2015
Rider,576,2015
Robert Morris,579,2015
Rutgers,587,2015
SFA,676,2015
SIUE,660,2015
SMU,663,2015
Sacramento St.,102,2015
Sacred Heart,590,2015
Saint Francis (PA),600,2015
Saint Joseph's,606,2015
Saint Louis,609,2015
Saint Peter's,617,2015
Sam Houston St.,624,2015
Samford,625,2015
San Diego,627,2015
San Diego St.,626,2015
San Francisco,629,2015
San Jose St.,630,2015
Santa Clara,631,2015
Savannah St.,632,2015
Seattle U,1356,2015
Seton Hall,635,2015
Siena,639,2015
South Ala.,646,2015
South Carolina,648,2015
South Carolina St.,647,2015
South Dakota,650,2015
South Dakota St.,649,2015
South Fla.,651,2015
Southeast Mo. St.,654,2015
Southeastern La.,655,2015
Southern California,657,2015
Southern Ill.,659,2015
Southern Miss.,664,2015
Southern U.,665,2015
Southern Utah,667,2015
St. Bonaventure,596,2015
St. Francis Brooklyn,599,2015
St. John's (NY),603,2015
St. Mary's (CA),610,2015
Stanford,674,2015
Stetson,678,2015
Stony Brook,683,2015
Syracuse,688,2015
TCU,698,2015
Temple,690,2015
Tennessee,694,2015
Tennessee St.,691,2015
Tennessee Tech,692,2015
Texas,703,2015
Texas A&M,697,2015
Texas Southern,699,2015
Texas St.,670,2015
Texas Tech,700,2015
The Citadel,141,2015
Toledo,709,2015
Towson,711,2015
Troy,716,2015
Tulane,718,2015
Tulsa,719,2015
UAB,9,2015
UC Davis,108,2015
UC Irvine,109,2015
UC Riverside,111,2015
UC Santa Barbara,104,2015
UCF,128,2015
UCLA,110,2015
UConn,164,2015
UMBC,391,2015
UMES,393,2015
UMKC,2707,2015
UMass Lowell,368,2015
UNC Asheville,456,2015
UNCG,459,2015
UNCW,460,2015
UNI,504,2015
UNLV,465,2015
USC Upstate,10411,2015
UT Arlington,702,2015
UT Martin,695,2015
UTEP,704,2015
UTRGV,536,2015
UTSA,706,2015
Utah,732,2015
Utah St.,731,2015
Utah Valley,30024,2015
VCU,740,2015
VMI,741,2015
Valparaiso,735,2015
Vanderbilt,736,2015
Vermont,738,2015
Villanova,739,2015
Virginia,746,2015
Virginia Tech,742,2015
Wagner,748,2015
Wake Forest,749,2015
Washington,756,2015
Washington St.,754,2015
Weber St.,758,2015
West Virginia,768,2015
Western Caro.,769,2015
Western Ill.,771,2015
Western Ky.,772,2015
Western Mich.,774,2015
Wichita St.,782,2015
William & Mary,786,2015
Winthrop,792,2015
Wisconsin,796,2015
Wofford,2915,2015
Wright St.,810,2015
Wyoming,811,2015
Xavier,812,2015
Yale,813,2015
Youngstown St.,817,2015
A&M-Corpus Chris,26172,2016
Abilene Christian,2,2016
Air Force,721,2016
Akron,5,2016
Alabama,8,2016
Alabama A&M,6,2016
Alabama St.,7,2016
Albany (NY),14,2016
Alcorn,17,2016
American,23,2016
Appalachian St.,27,2016
Arizona,29,2016
Arizona St.,28,2016
Ark.-Pine Bluff,2678,2016
Arkansas,31,2016
Arkansas St.,30,2016
Army West Point,725,2016
Auburn,37,2016
Austin Peay,43,2016
BYU,77,2016
Ball St.,47,2016
Baylor,51,2016
Belmont,14927,2016
Bethune-Cookman,61,2016
Binghamton,62,2016
Boise St.,66,2016
Boston College,67,2016
Boston U.,68,2016
Bowling Green,71,2016
Bradley,72,2016
Brown,80,2016
Bryant,81,2016
Bucknell,83,2016
Buffalo,86,2016
Butler,87,2016
CSU Bakersfield,94,2016
CSUN,101,2016
Cal Poly,90,2016
Cal St. Fullerton,97,2016
California,107,2016
Campbell,115,2016
Canisius,116,2016
Central Ark.,1004,2016
Central Conn. St.,127,2016
Central Mich.,129,2016
Charleston So.,48,2016
Charlotte,458,2016
Chattanooga,693,2016
Chicago St.,136,2016
Cincinnati,140,2016
Clemson,147,2016
Cleveland St.,148,2016
Coastal Caro.,149,2016
Col. of Charleston,1014,2016
Colgate,153,2016
Colorado,157,2016
Colorado St.,156,2016
Columbia,158,2016
Coppin St.,165,2016
Cornell,167,2016
Creighton,169,2016
Dartmouth,172,2016
Davidson,173,2016
Dayton,175,2016
DePaul,176,2016
Delaware,180,2016
Delaware St.,178,2016
Denver,183,2016
Detroit Mercy,184,2016
Drake,189,2016
Drexel,191,2016
Duke,193,2016
Duquesne,194,2016
ETSU,198,2016
East Carolina,196,2016
Eastern Ill.,201,2016
Eastern Ky.,202,2016
Eastern Mich.,204,2016
Eastern Wash.,207,2016
Elon,1068,2016
Evansville,219,2016
FGCU,28755,2016
FIU,231,2016
Fairfield,220,2016
Fairleigh Dickinson,222,2016
Fla. Atlantic,229,2016
Florida,235,2016
Florida A&M,228,2016
Florida St.,234,2016
Fordham,236,2016
Fort Wayne,308,2016
Fresno St.,96,2016
Furman,244,2016
Ga. Southern,253,2016
Gardner-Webb,1092,2016
George Mason,248,2016
George Washington,249,2016
Georgetown,251,2016
Georgia,257,2016
Georgia St.,254,2016
Georgia Tech,255,2016
Gonzaga,260,2016
Grambling,261,2016
Grand Canyon,1104,2016
Green Bay,794,2016
Hampton,270,2016
Hartford,272,2016
Harvard,275,2016
Hawaii,277,2016
High Point,19651,2016
Hofstra,283,2016
Holy Cross,285,2016
Houston,288,2016
Houston Baptist,287,2016
Howard,290,2016
IUPUI,2699,2016
Idaho,295,2016
Idaho St.,294,2016
Ill.-Chicago,302,2016
Illinois,301,2016
Illinois St.,299,2016
Incarnate Word,2743,2016
Indiana,306,2016
Indiana St.,305,2016
Iona,310,2016
Iowa,312,2016
Iowa St.,311,2016
Jackson St.,314,2016
Jacksonville,316,2016
Jacksonville St.,315,2016
James Madison,317,2016
Kansas,328,2016
Kansas St.,327,2016
Kennesaw St.,1157,2016
Kent St.,331,2016
Kentucky,334,2016
LIU Brooklyn,361,2016
LSU,365,2016
La Salle,340,2016
La.-Monroe,498,2016
Lafayette,342,2016
Lamar University,346,2016
Lehigh,352,2016
Liberty,355,2016
Lipscomb,28600,2016
Little Rock,32,2016
Long Beach St.,99,2016
Longwood,363,2016
Louisiana,671,2016
Louisiana Tech,366,2016
Louisville,367,2016
Loyola Chicago,371,2016
Loyola Maryland,369,2016
Loyola Marymount,370,2016
Maine,380,2016
Manhattan,381,2016
Marist,386,2016
Marquette,387,2016
Marshall,388,2016
Maryland,392,2016
Massachusetts,400,2016
McNeese,402,2016
Memphis,404,2016
Mercer,406,2016
Miami (FL),415,2016
Miami (OH),414,2016
Michigan,418,2016
Michigan St.,416,2016
Middle Tenn.,419,2016
Milwaukee,797,2016
Minnesota,428,2016
Mississippi St.,430,2016
Mississippi Val.,432,2016
Missouri,434,2016
Missouri St.,669,2016
Monmouth,439,2016
Montana,441,2016
Montana St.,440,2016
Morehead St.,444,2016
Morgan St.,446,2016
Mt. St. Mary's,450,2016
Murray St.,454,2016
N.C. A&T,488,2016
N.C. Central,489,2016
NJIT,471,2016
Navy,726,2016
Nebraska,463,2016
Nevada,466,2016
New Hampshire,469,2016
New Mexico,473,2016
New Mexico St.,472,2016
New Orleans,474,2016
Niagara,482,2016
Nicholls St.,483,2016
Norfolk St.,485,2016
North Carolina,457,2016
North Carolina St.,490,2016
North Dakota,494,2016
North Dakota St.,493,2016
North Florida,2711,2016
North Texas,497,2016
Northeastern,500,2016
Northern Ariz.,501,2016
Northern Colo.,502,2016
Northern Ill.,503,2016
Northern Ky.,505,2016
Northwestern,509,2016
Northwestern St.,508,2016
Notre Dame,513,2016
Oakland,514,2016
Ohio,519,2016
Ohio St.,518,2016
Oklahoma,522,2016
Oklahoma St.,521,2016
Old Dominion,523,2016
Ole Miss,433,2016
Omaha,464,2016
Oral Roberts,527,2016
Oregon,529,2016
Oregon St.,528,2016
Pacific,534,2016
Penn,540,2016
Penn St.,539,2016
Pepperdine,541,2016
Pittsburgh,545,2016
Portland,551,2016
Portland St.,550,2016
Prairie View,553,2016
Presbyterian,1320,2016
Princeton,554,2016
Providence,556,2016
Purdue,559,2016
Quinnipiac,562,2016
Radford,563,2016
Rhode Island,572,2016
Rice,574,2016
Richmond,575,2016
Rider,576,2016
Robert Morris,579,2016
Rutgers,587,2016
SFA,676,2016
SIUE,660,2016
SMU,663,2016
Sacramento St.,102,2016
Sacred Heart,590,2016
Saint Francis (PA),600,2016
Saint Joseph's,606,2016
Saint Louis,609,2016
Saint Peter's,617,2016
Sam Houston St.,624,2016
Samford,625,2016
San Diego,627,2016
San Diego St.,626,2016
San Francisco,629,2016
San Jose St.,630,2016
Santa Clara,631,2016
Savannah St.,632,2016
Seattle U,1356,2016
Seton Hall,635,2016
Siena,639,2016
South Ala.,646,2016
South Carolina,648,2016
South Carolina St.,647,2016
South Dakota,650,2016
South Dakota St.,649,2016
South Fla.,651,2016
Southeast Mo. St.,654,2016
Southeastern La.,655,2016
Southern California,657,2016
Southern Ill.,659,2016
Southern Miss.,664,2016
Southern U.,665,2016
Southern Utah,667,2016
St. Bonaventure,596,2016
St. Francis Brooklyn,599,2016
St. John's (NY),603,2016
St. Mary's (CA),610,2016
Stanford,674,2016
Stetson,678,2016
Stony Brook,683,2016
Syracuse,688,2016
TCU,698,2016
Temple,690,2016
Tennessee,694,2016
Tennessee St.,691,2016
Tennessee Tech,692,2016
Texas,703,2016
Texas A&M,697,2016
Texas Southern,699,2016
Texas St.,670,2016
Texas Tech,700,2016
The Citadel,141,2016
Toledo,709,2016
Towson,711,2016
Troy,716,2016
Tulane,718,2016
Tulsa,719,2016
UAB,9,2016
UC Davis,108,2016
UC Irvine,109,2016
UC Riverside,111,2016
UC Santa Barbara,104,2016
UCF,128,2016
UCLA,110,2016
UConn,164,2016
UMBC,391,2016
UMES,393,2016
UMKC,2707,2016
UMass Lowell,368,2016
UNC Asheville,456,2016
UNCG,459,2016
UNCW,460,2016
UNI,504,2016
UNLV,465,2016
USC Upstate,10411,2016
UT Arlington,702,2016
UT Martin,695,2016
UTEP,704,2016
UTRGV,536,2016
UTSA,706,2016
Utah,732,2016
Utah St.,731,2016
Utah Valley,30024,2016
VCU,740,2016
VMI,741,2016
Valparaiso,735,2016
Vanderbilt,736,2016
Vermont,738,2016
Villanova,739,2016
Virginia,746,2016
Virginia Tech,742,2016
Wagner,748,2016
Wake Forest,749,2016
Washington,756,2016
Washington St.,754,2016
Weber St.,758,2016
West Virginia,768,2016
Western Caro.,769,2016
Western Ill.,771,2016
Western Ky.,772,2016
Western Mich.,774,2016
Wichita St.,782,2016
William & Mary,786,2016
Winthrop,792,2016
Wisconsin,796,2016
Wofford,2915,2016
Wright St.,810,2016
Wyoming,811,2016
Xavier,812,2016
Yale,813,2016
Youngstown St.,817,2016
